date,value
2021-03-30,91325771.283
2020-03-27,55683493.79099999
2019-09-16,49499641.353
2019-03-29,49499641.353
2018-03-29,48648119.82000001
2017-03-30,46190320.998
2016-03-30,44218204.203
2015-03-31,39952119.228
